Tyear,Transect,Date,Year,Round,Species,0,5,10,15,20,25,30,35,40,45,Total,Average,SPECIAL
IRC23_2021_2,IRC23,4/5,2021,2,BRATOU,0.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.545,0
IRC23_2021_2,IRC23,4/5,2021,2,DICCAP,0.000,0.000,0.000,0.000,8.000,0.000,3.000,5.000,1.000,0.000,17.000,3.091,0
IRC23_2021_2,IRC23,4/5,2021,2,CALMAC,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.182,0
IRC23_2021_2,IRC23,4/5,2021,2,SONOLE,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.182,0
IRC23_2021_2,IRC23,4/5,2021,2,CAMMIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.000,0.000,3.000,0.545,0
IRC23_2021_2,IRC23,4/5,2021,2,GILANG,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
IRC23_2021_2,IRC23,4/5,2021,2,LUPBIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
BD21_2021_2,BD21,4/5,2021,2,SALMEL,0.000,47.000,111.000,0.000,0.000,0.000,0.000,27.000,10.000,0.000,195.000,35.455,0
BD21_2021_2,BD21,4/5,2021,2,HIRINC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
IRC01_2021_2,IRC01,4/6,2021,2,EROCIC,13.000,11.000,33.000,5.000,13.000,14.000,0.000,14.000,0.000,3.000,106.000,19.273,0
IRC01_2021_2,IRC01,4/6,2021,2,EUCCHR,29.000,20.000,53.000,59.000,19.000,68.000,0.000,7.000,0.000,0.000,255.000,46.364,0
IRC01_2021_2,IRC01,4/6,2021,2,DICCAP,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
IRC01_2021_2,IRC01,4/6,2021,2,CLAPAR,0.000,0.000,0.000,6.000,14.000,0.000,0.000,0.000,0.000,0.000,20.000,3.636,0
BKR10_2021_2,BKR10,4/6,2021,2,SOLXAN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
BKR10_2021_2,BKR10,4/6,2021,2,SISBEL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
BKR10_2021_2,BKR10,4/6,2021,2,DICCAP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
BKR10_2021_2,BKR10,4/6,2021,2,EROBOT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
GYP08_2021_2,GYP08,4/7,2021,2,LASCAL,0.000,0.000,0.000,0.000,0.000,0.000,23.000,0.000,0.000,0.000,23.000,4.182,0
GYP08_2021_2,GYP08,4/7,2021,2,FOEVUL,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,6.000,1.091,0
GYP08_2021_2,GYP08,4/7,2021,2,DICCAP,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.182,0
GYP08_2021_2,GYP08,4/7,2021,2,EROCIC,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.182,0
GYP08_2021_2,GYP08,4/7,2021,2,MALSAX,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,2.000,0.364,0
GYP08_2021_2,GYP08,4/7,2021,2,SOLXAN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.000,0.000,12.000,2.182,0
GYP08_2021_2,GYP08,4/7,2021,2,EUCCHR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.182,0
GYP08_2021_2,GYP08,4/7,2021,2,LASCAL,0.000,0.000,0.000,0.000,0.000,0.000,30.000,0.000,0.000,0.000,30.000,5.455,0
GYP08_2021_2,GYP08,4/7,2021,2,GILANG,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.182,0
GYP08_2021_2,GYP08,4/7,2021,2,SALMEL,0.000,0.000,0.000,0.000,0.000,31.000,0.000,0.000,0.000,0.000,31.000,5.636,0
GYP01_2021_2,GYP01,4/7,2021,2,CALCIL,0.000,22.000,10.000,0.000,31.000,99.000,21.000,0.000,0.000,15.000,198.000,36.000,0
GYP01_2021_2,GYP01,4/7,2021,2,ESCCAL,0.000,1.000,2.000,0.000,10.000,11.000,0.000,0.000,0.000,0.000,24.000,4.364,0
GYP01_2021_2,GYP01,4/7,2021,2,GILANG,0.000,3.000,2.000,0.000,0.000,0.000,0.000,5.000,0.000,12.000,22.000,4.000,0
GYP01_2021_2,GYP01,4/7,2021,2,EUCCHR,0.000,4.000,0.000,1.000,8.000,4.000,127.000,10.000,0.000,13.000,167.000,30.364,0
GYP01_2021_2,GYP01,4/7,2021,2,EROBOT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
GYP01_2021_2,GYP01,4/7,2021,2,EROCIC,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
GYP01_2021_2,GYP01,4/7,2021,2,DICCAP,0.000,0.000,0.000,2.000,2.000,0.000,0.000,2.000,0.000,0.000,6.000,1.091,0
GYP01_2021_2,GYP01,4/7,2021,2,HIRINC,0.000,4.000,0.000,0.000,11.000,0.000,0.000,0.000,0.000,0.000,15.000,2.727,0
GYP01_2021_2,GYP01,4/7,2021,2,LUPBIC,0.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,10.000,1.818,0
GYP01_2021_2,GYP01,4/7,2021,2,SOLXAN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
BKR10_2021_2,BKR10,4/8,2021,2,SONASP,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.364,0
BKR10_2021_2,BKR10,4/8,2021,2,EROBOT,6.000,5.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.000,2.000,0
BKR10_2021_2,BKR10,4/8,2021,2,SOLXAN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
BKR10_2021_2,BKR10,4/8,2021,2,PSECAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
SS05_2021_2,SS05,4/8,2021,2,BRATOU,8.000,0.000,18.000,0.000,0.000,0.000,2.000,33.000,0.000,3.000,64.000,11.636,0
SS05_2021_2,SS05,4/8,2021,2,HIRINC,0.000,0.000,29.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,29.000,5.273,0
SS05_2021_2,SS05,4/8,2021,2,GILANG,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,6.000,1.091,0
SS05_2021_2,SS05,4/8,2021,2,EROCIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.364,3
SS05_2021_2,SS05,4/8,2021,2,MIRLAE,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,30.000,0.000,34.000,6.182,0
SS05_2021_2,SS05,4/8,2021,2,DICCAP,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.364,0
SS05_2021_2,SS05,4/8,2021,2,BRANIG,0.000,0.000,0.000,23,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
SS05_2021_2,SS05,4/8,2021,2,CRYMUR,5.000,0.000,0.000,0.000,43.000,30.000,0.000,3.000,0.000,9.000,90.000,16.364,0
SS05_2021_2,SS05,4/8,2021,2,PHAPAR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
SS05_2021_2,SS05,4/8,2021,2,CASEXS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
SS05_2021_2,SS05,4/8,2021,2,SOLXAN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
I15_2021_2,I15,4/15,2021,2,SOLXAN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
I15_2021_2,I15,4/15,2021,2,HIRINC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
I15_2021_2,I15,4/15,2021,2,SALMEL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
I15_2021_2,I15,4/15,2021,2,DICCAP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
I15_2021_2,I15,4/15,2021,2,SONOLE,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.182,0
I15_2021_2,I15,4/15,2021,2,GILANG,0.000,0.000,0.000,2.000,0.000,0.000,5.000,0.000,0.000,0.000,7.000,1.273,0
I15_2021_2,I15,4/15,2021,2,EROCIC,0.000,0.000,0.000,1.000,32.000,1.000,0.000,0.000,0.000,0.000,34.000,6.182,0
I15_2021_2,I15,4/15,2021,2,MICLIN,0.000,0.000,0.000,3.000,0.000,6.000,2.000,0.000,0.000,1.000,12.000,2.182,0
I15_2021_2,I15,4/15,2021,2,BRANIG,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3.000,0.545,0
I15_2021_2,I15,4/15,2021,2,LUPBIC,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,6.000,1.091,0
I15_2021_2,I15,4/15,2021,2,EROCIC,0.000,0.000,0.000,0.000,0.000,0.000,8.000,0.000,0.000,0.000,8.000,1.455,0
I14_2021_2,I14,4/15,2021,2,HIRINC,0.000,17.000,0.000,13.000,0.000,0.000,1.000,0.000,7.000,8.000,46.000,8.364,0
I14_2021_2,I14,4/15,2021,2,DICCAP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.364,0
I14_2021_2,I14,4/15,2021,2,LUPTRE,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,2.000,0.364,0
I14_2021_2,I14,4/15,2021,2,GILANG,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,9.000,0.000,15.000,2.727,0
I14_2021_2,I14,4/15,2021,2,SONOLE,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.364,0
I14_2021_2,I14,4/15,2021,2,SONASP,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,4.000,5.000,0.909,0
I14_2021_2,I14,4/15,2021,2,EROMOS,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,3.000,0.545,0
I14_2021_2,I14,4/15,2021,2,ESCCAL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
I50_2021_2,I50,4/16,2021,2,GILANG,0.000,0.000,1.000,9.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,1.818,0
I50_2021_2,I50,4/16,2021,2,MICLIN,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000,0.182,0
I50_2021_2,I50,4/16,2021,2,ANAARV,0.000,0.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.364,0
I50_2021_2,I50,4/16,2021,2,HYPGLA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.364,0
I50_2021_2,I50,4/16,2021,2,EROCIC,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,2.000,0.364,0
I50_2021_2,I50,4/16,2021,2,EROBOT,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,4.000,0.727,0
I50_2021_2,I50,4/16,2021,2,EUCCHR,0.000,0.000,2.000,14.000,0.000,0.000,0.000,0.000,0.000,0.000,16.000,2.909,0
I20_2021_2,I20,4/16,2021,2,SALMEL,0.000,24.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,4.364,0
I20_2021_2,I20,4/16,2021,2,CEACRA,0.000,32.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,32.000,5.818,0
GYP02_2021_2,GYP02,4/19,2021,2,SALMEL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,4.000,0.727,0
GYP02_2021_2,GYP02,4/19,2021,2,EROCIC,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,4.000,0.727,0
GYP02_2021_2,GYP02,4/19,2021,2,SCRCAL,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.364,0
GYP02_2021_2,GYP02,4/19,2021,2,EUCCHR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
GYP02_2021_2,GYP02,4/19,2021,2,SOLXAN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
GYP02_2021_2,GYP02,4/19,2021,2,ERICAL,116.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,116.000,21.091,0
GYP02_2021_2,GYP02,4/19,2021,2,ANAARV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
GYP04_2021_2,GYP04,4/19,2021,2,ERICAL,128.000,112.000,87.000,0.000,0.000,0.000,0.000,14.000,22.000,4.000,367.000,66.727,0
GYP04_2021_2,GYP04,4/19,2021,2,KECANT,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,40.000,8.000,48.000,8.727,0
GYP04_2021_2,GYP04,4/19,2021,2,PHACIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
GYP04_2021_2,GYP04,4/19,2021,2,SALMEL,0.000,0.000,17.000,40.000,96.000,55.000,0.000,55.000,35.000,0.000,298.000,54.182,0
GYP04_2021_2,GYP04,4/19,2021,2,FOEVUL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
SS04_2021_2,SS04,4/20,2021,2,SALMEL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,24.000,24.000,4.364,0
SS04_2021_2,SS04,4/20,2021,2,CRYMUR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,2.000,0.364,0
SS04_2021_2,SS04,4/20,2021,2,EROCIC,12.000,0.000,0.000,9.000,1.000,0.000,3.000,0.000,0.000,0.000,25.000,4.545,0
SS04_2021_2,SS04,4/20,2021,2,LUPBIC,3.000,0.000,0.000,5.000,18.000,0.000,0.000,0.000,0.000,0.000,26.000,4.727,0
SS04_2021_2,SS04,4/20,2021,2,EUCCHR,33.000,0.000,0.000,70.000,0.000,0.000,0.000,0.000,0.000,0.000,103.000,18.727,0
SS04_2021_2,SS04,4/20,2021,2,BRANIG,0.000,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,0.545,0
SS04_2021_2,SS04,4/20,2021,2,GILANG,0.000,53.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,53.000,9.636,0
SS04_2021_2,SS04,4/20,2021,2,EMMPEN,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
SS04_2021_2,SS04,4/20,2021,2,DICCAP,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.000,1.455,0
SS04_2021_2,SS04,4/20,2021,2,EROBRA,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.182,0
SS04_2021_2,SS04,4/20,2021,2,PHAPAR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
SS04_2021_2,SS04,4/20,2021,2,ANAARV,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
SS04_2021_2,SS04,4/20,2021,2,AMSMEN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
SS03_2021_2,SS03,4/20,2021,2,EMMPEN,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.364,0
SS03_2021_2,SS03,4/20,2021,2,GILANG,17.000,4.000,14.000,14.000,0.000,49.000,0.000,0.000,0.000,0.000,98.000,17.818,0
SS03_2021_2,SS03,4/20,2021,2,EROBRA,4.000,4.000,66.000,10.000,8.000,5.000,0.000,0.000,0.000,4.000,101.000,18.364,0
SS03_2021_2,SS03,4/20,2021,2,CRYMUR,0.000,0.000,3.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,6.000,1.091,0
SS03_2021_2,SS03,4/20,2021,2,CALCIL,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,4.000,6.000,1.091,0
SS03_2021_2,SS03,4/20,2021,2,DICCAP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.000,3.000,0.545,0
SS03_2021_2,SS03,4/20,2021,2,AMSMEN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.000,7.000,1.273,0
SS03_2021_2,SS03,4/20,2021,2,EROCIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.182,0
I08_2021_2,I08,4/21,2021,2,EROCIC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,2.000,0.364,0
I08_2021_2,I08,4/21,2021,2,HIRINC,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.000,0.000,0.000,4.000,0.727,0
