Transect,Quad,Year,Round,Date,Temp,Wspd,Start,Time,Veg,Num,Type_pollinator,Bee_type,Size,Long_pol_sp
IRC13,20,2021,1,19-Mar,20,3,12:48,,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC13,20,2021,1,19-Mar,20,3,12:48,8:57,PHAPAR,2,BEE,Apis,,Apis mellifera
IRC13,20,2021,1,19-Mar,20,3,12:48,8:58,PHAPAR,2,BEE,Apis,,Apis mellifera
IRC13,20,2021,1,19-Mar,20,3,12:48,12:25,PHAPAR,2,BEE,Apis,,Apis mellifera
BKR07,walk,2021,1,22-Mar,15,0,8:50,,nothing,NA,NA,,,
BKR07,walk,2021,1,22-Mar,15,0,9:05,,nothing,NA,NA,,,
BKR07,walk,2021,1,22-Mar,15,0,9:15,,nothing,NA,NA,,,
IRC01,15,2021,1,22-Mar,18,5,12:58,3:56,NA,NA,HUM,,,Hummingbird
IRC01,15,2021,1,22-Mar,18,5,12:58,6:35,NA,NA,BEE,Apis,,Honeybee
IRC01,15,2021,1,22-Mar,18,5,12:58,9:20,NA,NA,BEE,Apis,,Honeybee
IRC01,15,2021,1,22-Mar,18,5,12:58,18:42,NA,NA,BEE,Native,5,Megachillid
GYP01,25,2021,1,23-Mar,16,2,10:56,nothing,nothing,NA,NA,,,
GYP01,walk,2021,1,23-Mar,16,2,10:40,nothing,nothing,NA,NA,,,
GYP01,walk,2021,1,23-Mar,16,2,10:25,nothing,nothing,NA,NA,,,
GYP08,15,2021,1,23-Mar,17,4,13:28,nothing,nothing,,NA,,,
GYP08,30,2021,1,23-Mar,18,5,13:48,19:36,SALMEL,2,BEE,Native,5,tiny native bee
GYP08,walk,2021,1,23-Mar,18,5,14:10,,nothing,NA,NA,,,
SS05,5,2021,1,25-Mar,14,5,9:54,1:16,MIRLAE,NA,BEE,Apis,,Apis mellifera
SS05,15,2021,1,25-Mar,14,7,10:23,0:00,MIRLAE,1,BEE,Bombus,,Bombus californicus
SS05,56,2021,1,25-Mar,14,7,11:03,1:03,MIRLAE,NA,BEE,Apis,,Apis mellifera
SS05,56,2021,1,25-Mar,14,7,11:03,1:05,MIRLAE,NA,BEE,Apis,,Apis mellifera
SS05,56,2021,1,25-Mar,14,7,11:03,2:30,MIRLAE,2,BEE,Apis,,Apis mellifera
SS05,56,2021,1,25-Mar,14,7,11:03,11:39,MIRLAE,1,BEE,Apis,,Apis mellifera
SS05,56,2021,1,25-Mar,14,7,11:03,14:39,MIRLAE,NA,BEE,Bombus,,Bombus californicus
SS05,56,2021,1,25-Mar,14,7,11:03,16:02,MIRLAE,2,BEE,Apis,,Apis mellifera
SS05,56,2021,1,25-Mar,14,7,11:03,,MIRLAE,11,BEE,Apis,,Apis mellifera
SS05,35,2021,1,25-Mar,15,7,11:26,0:00,MIRLAE,NA,BEE,Apis,,Apis mellifera
SS05,35,2021,1,25-Mar,15,7,11:26,1:28,MIRLAE,,BEE,Apis,,Apis mellifera
SS05,35,2021,1,25-Mar,15,7,11:26,1:46,MIRLAE,,BEE,Apis,,Apis mellifera
SS05,35,2021,1,25-Mar,15,7,11:26,1:56,MIRLAE,2,BEE,Apis,,Apis mellifera
SS05,35,2021,1,25-Mar,15,7,11:26,,MIRLAE,NA,BEE,Apis,,Apis mellifera
SS05,35,2021,1,25-Mar,15,7,11:26,4:54,MIRLAE,2,BEE,Apis,,Apis mellifera
SS05,35,2021,1,25-Mar,15,7,11:26,4:54,MIRLAE,NA,BEE,Native,20,Xylocopa californica
SS05,35,2021,1,25-Mar,15,7,11:26,12:15,MIRLAE,1,BEE,Native,20,Xylocopa californica
BKR10,45,2021,1,25-Mar,14,6,12:45,,nothing,NA,NA,,,
BKR10,walk,2021,1,25-Mar,14,6,13:03,,nothing,NA,NA,,,
BKR10,walk,2021,1,25-Mar,16,6,13:15,,nothing,NA,NA,,,
I14,25,2021,1,26-Mar,15,2,10:25,19:50,GILANG,22,BEE,Apis,,Apis mellifera
I14,40,2021,1,26-Mar,13,2,9:00,nothing,nothing,0,NA,,,
I14,25,2021,1,26-Mar,13,2,9:25,nothing,nothing,0,NA,,,
I14,10,2021,1,26-Mar,15,2,10:11,10:15,GILANG,2,BEE,Apis,,Apis mellifera
I14,10,2021,1,26-Mar,15,2,10:11,10:16,GILANG,2,BEE,Apis,,Apis mellifera
I14,10,2021,1,26-Mar,15,2,10:11,10:19,EROCIC,1,BEE,Apis,,Apis mellifera
I14,10,2021,1,26-Mar,15,2,10:11,10:26,EROCIC,3,BEE,Apis,,Apis mellifera
I14,10,2021,1,26-Mar,15,2,10:11,10:27,EROCIC,1,BEE,Apis,,Apis mellifera
I14,10,2021,1,26-Mar,15,2,10:11,10:29,GILANG,1,BEE,Apis,,Apis mellifera
I14,10,2021,1,26-Mar,15,2,10:11,10:30,GILANG,2,BEE,Apis,,Apis mellifera
I14,40,2021,1,26-Mar,15,2,10:38,10:56,GILANG,3,BEE,Apis,,Apis Mellifera
I14,40,2021,1,26-Mar,15,2,10:38,10:57,GILANG,5,LID,,,Bombillid
I15,20,2021,1,26-Mar,16,4,13:23,5:20,CALCIL,32,BEE,Apis,,Apis mellifera
I15,20,2021,1,26-Mar,16,4,13:23,11:15,CALCIL,22,BEE,Apis,,Apis mellifera
I15,20,2021,1,26-Mar,16,4,13:23,13:03,CALCIL,4,BEE,Apis,,Apis mellifera
I15,20,2021,1,26-Mar,16,4,13:23,14:15,CALCIL,4,BEE,Apis,,Apis mellifera
I15,20,2021,1,26-Mar,16,4,13:23,15:33,CALCIL,1,LID,,,Bombillid
I15,20,2021,1,26-Mar,16,4,13:23,19:37,CALCIL,4,BEE,Apis,,Apis mellifera
I15,30,2021,1,26-Mar,16,4,13:50,12:26,GILANG,1,DIP,,,Diptera (mosquito)
I15,30,2021,1,26-Mar,16,4,13:50,13:38,GILANG,1,DIP,,,sm fly
I15,20,2021,1,26-Mar,16,4,13:45,13:46,CALCIL,10,BEE,Apis,,Apis mellifera
I15,20,2021,1,26-Mar,16,4,13:45,13:48,CALCIL,6,BEE,Apis,,Apis mellifera
I15,20,2021,1,26-Mar,16,4,13:45,13:53,CALCIL,2,SYP,,,Syrphid fly
I15,20,2021,1,26-Mar,16,4,13:45,14:00,CALCIL,17,BEE,Apis,,Apis mellifera
I15,20,2021,1,26-Mar,16,4,13:45,14:04,CALCIL,3,BEE,Apis,,Apis mellifera
GYP02,30,2021,1,29-Mar,19,3,10:30,nothing,nothing,,NA,,,
GYP02,30,2021,1,29-Mar,20,0,10:54,4:56,KECANT,2,BEE,Native,5,Ceratina 1
GYP02,30,2021,1,29-Mar,20,0,10:54,,EROCIC,1,BEE,Native,5,cont.
GYP02,30,2021,1,29-Mar,20,0,10:54,9:44,KECANT,2,BEE,Native,5,Ceratina 1
SS03,0,2021,1,30-Mar,17,0,9:55,nothing,nothing,,NA,,,
SS03,20,2021,1,30-Mar,18,0,10:40,nothing,nothing,,NA,,,
SS03,20,2021,1,30-Mar,18,0,10:40,15:23,EROCIC,NA,BEE,Native,10,Hylaeus
SS03,45,2021,1,30-Mar,19,0,11:10,nothing,nothing,,NA,,,
SS03,20,2021,1,30-Mar,19,2,11:32,14:14,DICCAP,NA,BEE,Bombus,,Bombus californicus
SS03,45,2021,1,30-Mar,21,4,13:08,0:15,CRYMUR,2,DIP,,,Diptera spp.
SS03,45,2021,1,30-Mar,21,4,13:28,1:43,CRYMUR,1,DIP,,,Diptera
SS03,45,2021,1,30-Mar,21,4,13:28,9:34,CRYMUR,2,BEE,Native,5,Native bee
SS03,45,2021,1,30-Mar,21,4,13:28,10:38,CRYMUR,1,DIP,,,Diptera
I40,20,2021,1,31-Mar,19,0,8:50,nothing,nothing,,NA,,,
I40,20,2021,1,31-Mar,24,3,9:23,nothing,nothing,,NA,,,
I40,35,2021,1,31-Mar,27,6,9:50,nothing,nothing,,NA,,,
I40,45,2021,1,31-Mar,27,7,10:12,nothing,nothing,,NA,,,
I40,45,2021,1,31-Mar,27,6,10:33,nothing,nothing,,NA,,,
I40,35,2021,1,31-Mar,28,7,10:55,nothing,nothing,,NA,,,
I08,45,2021,1,31-Mar,29,6,12:41,nothing,nothing,,NA,,,
I08,45,2021,1,31-Mar,30,5,12:02,nothing,nothing,,NA,,,
I08,40,2021,1,31-Mar,28,5,12:40,nothing,nothing,,NA,,,
I08,40,2021,1,31-Mar,27,6,13:04,nothing,nothing,,NA,,,
GYP09,40,2021,1,1-Apr,24,0,9:37,6:26,CALMAC,NA,BEE,Bombus,,Bombus californicus
GYP09,40,2021,1,1-Apr,24,0,9:37,10:58,SALMEL,NA,BEE,Bombus,,Bombus californicus
GYP09,40,2021,1,1-Apr,24,0,9:37,12:40,CALMAC,NA,BEE,Bombus,,Bombus californicus
GYP09,30,2021,1,1-Apr,26,0,10:12,2:32,SALMEL,NA,BEE,Bombus,,Bombus spp
GYP09,30,2021,1,1-Apr,26,0,10:12,5:58,SALMEL,NA,BEE,Bombus,,Bombus californicus
GYP09,30,2021,1,1-Apr,26,0,10:12,9:40,SALMEL,NA,BEE,Native,10,Native bee
GYP09,30,2021,1,1-Apr,26,0,10:12,11:50,SALMEL,NA,BEE,Native,10,Native bee
GYP09,30,2021,1,1-Apr,26,0,10:12,14:42,SALMEL,5,BEE,Bombus,,Bombus californicus
GYP09,30,2021,1,1-Apr,26,0,10:12,18:32,SALMEL,NA,BEE,Native,5,Xylocopa
GYP09,0,2021,1,1-Apr,27,3,11:13,0:00,NA,NA,LID,,,Bombyllid
GYP09,0,2021,1,1-Apr,27,3,11:13,10:32,PHOAUR,2,BEE,Native,10,Native bee
GYP09,0,2021,1,1-Apr,27,3,11:13,14:25,PHOAUR,NA,BEE,Native,10,""""
GYP09,0,2021,1,1-Apr,27,3,11:13,15:06,PHOAUR,NA,BEE,Native,5,Native bee
GYP09,0,2021,1,1-Apr,27,3,11:13,19:02,PHOAUR,NA,BEE,Native,5,Native bee
GYP09,0,2021,1,1-Apr,27,3,11:13,19:34,PHOAUR,3,BEE,Native,10,Native bee
GYP09,40,2021,1,1-Apr,30,1,12:00,nothing,nothing,,NA,,,
GYP09,30,2021,1,1-Apr,30,1,12:21,nothing,nothing,,NA,,,
GYP09,30,2021,1,1-Apr,30,1,12:21,4:05,SALMEL,NA,BEE,Native,10,Native bee
GYP09,30,2021,1,1-Apr,30,1,12:21,4:40,SALMEL,NA,BEE,Native,10,Native bee
GYP09,30,2021,1,1-Apr,30,1,12:21,5:02,SALMEL,NA,BEE,Native,10,Native bee
GYP09,30,2021,1,1-Apr,30,1,12:21,8:23,SALMEL,NA,BEE,Native,5,Native bee
GYP09,30,2021,1,1-Apr,30,1,12:21,8:25,SALMEL,NA,BEE,Bombus,,Bombus
GYP09,30,2021,1,1-Apr,30,1,12:21,8:30,SALMEL,NA,BEE,Apis,,Apis mellifera
GYP09,30,2021,1,1-Apr,30,1,12:21,9:32,SALMEL,1,BEE,Native,10,Native bee
GYP09,30,2021,1,1-Apr,30,1,12:21,13:48,SALMEL,6,BEE,Native,10,Native bee
GYP09,30,2021,1,1-Apr,30,1,12:21,17:25,SALMEL,NA,BEE,Native,10,Native bee
GYP09,30,2021,1,1-Apr,30,1,12:21,16:11,SALMEL,2,BEE,Bombus,,Bombus
GYP09,30,2021,1,1-Apr,30,1,12:21,17:32,SALMEL,1,BEE,Native,10,Native bee
I02,0,2021,1,1-Apr,32,3,14:29,4:32,HIRINC,NA,BEE,Apis,,Apis mellifera
I02,0,2021,1,1-Apr,32,3,14:29,9:36,HIRINC,2,LID,,,Bombyllid
I02,0,2021,1,1-Apr,32,3,14:29,11:47,HIRINC,5,LID,,,Bombyllid
I02,0,2021,1,1-Apr,32,3,14:29,12:08,HIRINC,2,LID,,,Bombyllid
I02,0,2021,1,1-Apr,32,3,14:29,16:34,HIRINC,2,LID,,,Bombyllid
I02,20,2021,1,1-Apr,32,3,14:50,2:29,HIRINC,NA,LID,,,Bombyllid
I02,45,2021,1,1-Apr,30,3,15:20,,HESWHI,NA,BEE,Apis,,Apis mellifera
I02,45,2021,1,1-Apr,29,4,15:40,5:03,SISBEL,NA,BEE,Native,20,Xylocopa
I02,20,2021,1,1-Apr,29,4,16:01,nothing,nothing,,NA,,,
I02,0,2021,1,1-Apr,29,4,16:23,1:03,HIRINC,2,BEE,Bombus,,Bombus
IRC08,5,2021,1,2-Apr,20,5,10:53,5:05,EROCIC,NA,SYP,,,Syphrid fly
IRC08,5,2021,1,2-Apr,20,5,10:53,,EROCIC,NA,BEE,Apis,,Apis mellifera
IRC08,5,2021,1,2-Apr,20,5,10:53,,PHAPAR,NA,DIP,,,Diptera
IRC08,5,2021,1,2-Apr,20,5,10:53,,PHAPAR,NA,BEE,Bombus,,Bombus
IRC08,5,2021,1,2-Apr,20,5,10:53,,MIRLAE,NA,BEE,Bombus,,Bombus
IRC08,25,2021,1,2-Apr,21,4,11:14,0:00,EUCCHR,NA,BEE,Apis,,Apis mellifera
IRC08,25,2021,1,2-Apr,21,4,11:14,4:32,EUCCHR,2,BEE,Native,5,Native bee
IRC08,25,2021,1,2-Apr,21,4,11:14,5:14,EUCCHR,6,BEE,Apis,,Apis mellifera
IRC08,25,2021,1,2-Apr,21,4,11:14,6:03,EUCCHR,NA,BEE,Apis,,Apis mellifera
IRC08,25,2021,1,2-Apr,21,4,11:14,6:10,EUCCHR,NA,BEE,Apis,,Apis mellifera
IRC08,25,2021,1,2-Apr,21,4,11:14,17:48,EUCCHR,1,SYP,,,Syphrid fly
IRC08,40,2021,1,2-Apr,22,4,11:36,7:32,EUCCHR,2,BEE,Native,5,Native bee
IRC08,40,2021,1,2-Apr,22,4,11:36,16:47,EUCCHR,1,BEE,Native,5,Native bee
IRC08,40,2021,1,2-Apr,22,4,12:10,nothing,nothing,,NA,,,
IRC08,25,2021,1,2-Apr,23,5,12:51,2:26,EUCCHR,NA,BEE,Native,5,Native bee
IRC08,25,2021,1,2-Apr,23,5,12:51,10:30,EUCCHR,NA,LID,,,Bombyllid
IRC08,25,2021,1,2-Apr,23,5,12:51,11:50,EUCCHR,1,BEE,Native,5,Native bee
IRC08,25,2021,1,2-Apr,23,5,12:51,16:20,EUCCHR,2,BEE,Native,5,Native bee
IRC08,25,2021,1,2-Apr,23,5,12:51,19:46,EUCCHR,1,BEE,Native,5,Native bee
IRC08,25,2021,1,2-Apr,23,5,12:51,19:48,EUCCHR,2,BEE,Native,5,Native bee
IRC08,5,2021,1,2-Apr,22,5,13:44,11:36,PHAPAR,NA,BEE,Bombus,,Bombus
IRC23,10,2021,2,5-Apr,16,2,9:28,0:00,PHAPAR,NA,BEE,Apis,,Apis mellifera
IRC23,10,2021,2,5-Apr,16,2,9:28,5:20,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC23,10,2021,2,5-Apr,16,2,9:28,5:26,EROCIC,5,BEE,Apis,,Apis mellifera
IRC23,10,2021,2,5-Apr,16,2,9:28,7:39,PHAPAR,3,BEE,Apis,,Apis mellifera
IRC23,10,2021,2,5-Apr,16,2,9:28,9:36,PHAPAR,2,BEE,Apis,,Apis mellifera
IRC23,10,2021,2,5-Apr,16,2,9:28,9:40,EROCIC,2,BEE,Apis,,Apis mellifera
IRC23,10,2021,2,5-Apr,16,2,9:28,10:26,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC23,10,2021,2,5-Apr,16,2,9:28,12:52,PHAPAR,NA,HUM,,,Hummingbird
IRC23,10,2021,2,5-Apr,16,2,9:28,15:04,PHAPAR,2,BEE,Apis,,Apis mellifera
IRC23,10,2021,2,5-Apr,16,2,9:28,14:15,EROCIC,1,SYP,,,Syphrid fly
IRC23,20,2021,2,5-Apr,16,2,10:34,0:21,PHAPAR,2,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,1:12,MIRLAE,1,BEE,Native,10,Native bee
IRC23,20,2021,2,5-Apr,16,2,10:34,,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,2:09,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,3:24,MIRLAE,NA,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,3:55,MIRLAE,2,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,4:10,PHAPAR,NA,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,5:28,MIRLAE,7,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,7:19,PHAPAR,2,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,8:58,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,9:25,MIRLAE,2,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,14:32,MIRLAE,5,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,14:42,MIRLAE,3,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,16,2,10:34,NA,DICCAP,NA,BEE,Native,10,xylocopa
IRC23,40,2021,2,5-Apr,19,19,11:24,NA,EROCIC,NA,BEE,Apis,,Apis mellifera
IRC23,40,2021,2,5-Apr,19,19,11:24,NA,CRYMUR,NA,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,19,6,12:13,NA,PHAPAR,NA,BEE,Apis,,Apis mellifera
IRC23,20,2021,2,5-Apr,19,6,12:13,9:03,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC23,10,2021,2,5-Apr,20,19,13:00,0:00,PHAPAR,1,BEE,Native,5,Native bee spp.
IRC23,10,2021,2,5-Apr,20,19,13:00,NA,PHAPAR,NA,LID,,,Bombyllid
IRC23,10,2021,2,5-Apr,20,19,13:00,6:40,PHAPAR,1,BEE,Apis,,Apis mellifera
IRC23,10,2021,2,5-Apr,20,19,13:00,16:32,PHAPAR,1,BEE,Apis,,Apis mellifera
BD21,5,2021,2,5-Apr,20,5,15:20,9:26,SALMEL,NA,BEE,Bombus,,Bombus
BD21,5,2021,2,5-Apr,20,5,15:20,10:05,SALMEL,NA,BEE,Apis,,Apis mellifera
BD21,5,2021,2,5-Apr,20,5,15:20,12:11,SALMEL,NA,BEE,Native,10,Native bee spp.
BD21,35,2021,2,5-Apr,20,6,16:02,nothing,nothing,,NA,,,
IRC01,35,2021,2,6-Apr,18,2,10:49,NA,EUCCHR,NA,BEE,Apis,,Apis mellifera
IRC01,35,2021,2,6-Apr,18,2,10:49,NA,CLAPAR,NA,BEE,Apis,,Apis mellifera
IRC01,35,2021,2,6-Apr,18,2,10:49,2:11,EROCIC,NA,BEE,Apis,,Apis mellifera
IRC01,20,2021,2,6-Apr,18,2,11:41,11:00,EUCCHR,NA,BEE,Apis,,Apis mellifera
IRC01,20,2021,2,6-Apr,18,2,11:41,,EUCCHR,NA,SYP,,,Syphrid fly
IRC01,20,2021,2,6-Apr,18,2,11:41,,EUCCHR,NA,SYP,,,Syphrid fly
IRC01,20,2021,2,6-Apr,18,2,11:41,,EROCIC,NA,SYP,,,Syphrid fly
IRC01,20,2021,2,6-Apr,18,2,11:41,,EUCCHR,NA,BEE,Apis,,Apis mellifera
IRC01,20,2021,2,6-Apr,18,2,11:41,,EUCCHR,NA,LID,,,Bombyllid
IRC01,20,2021,2,6-Apr,18,2,11:41,,EUCCHR,NA,BEE,Native,5,Native bee spp.
IRC01,10,2021,2,6-Apr,19,4,11:21,,EUCCHR,NA,BEE,Apis,,Apis mellifera
IRC01,10,2021,2,6-Apr,19,4,11:21,4:53,EROCIC,NA,BEE,Apis,,Apis mellifera
IRC01,20,2021,2,6-Apr,20,3,12:05,9:10,EUCCHR,NA,BEE,Apis,,Apis mellifera
GYP08,30,2021,2,7-Apr,15,0,9:03,NA,SALMEL,NA,BEE,Bombus,,Bombus
GYP08,30,2021,2,7-Apr,15,0,9:03,NA,LASCAL,NA,LID,,,Bombyllid
GYP08,30,2021,2,7-Apr,15,0,9:03,NA,LASCAL,NA,DIP,,,Diptera
GYP08,40,2021,2,7-Apr,15,1,8:36,19:10,SOLXAN,2,LID,,,Bombyllid
GYP08,walk,2021,2,7-Apr,20,2,10:40,,SISBEL,NA,BEE,Native,10,Halictid bee
GYP08,walk,2021,2,7-Apr,20,2,10:40,,SISBEL,NA,BEE,Native,5,Adenid bee
GYP08,40,2021,2,7-Apr,15,1,8:36,nothing,nothing,,NA,,,
GYP08,25,2021,2,7-Apr,17,2,9:26,9:34,SALMEL,1,BEE,Apis,,Apis mellifera
GYP08,25,2021,2,7-Apr,17,2,9:26,9:36,SALMEL,9,LID,,,Bombyllid
GYP08,25,2021,2,7-Apr,17,2,9:26,9:39,SALMEL,1,LID,,,Bombyllid
GYP08,30,2021,2,7-Apr,19,2,9:48,9:59,LASCAL,1,DIP,,,tachinid? fly
GYP08,25,2021,2,7-Apr,20,2,10:10,10:19,SALMEL,10,BEE,Bombus,,Bombus
GYP08,25,2021,2,7-Apr,20,2,10:10,10:21,SALMEL,1,BEE,Apis,,Apis mellifera
GYP01,45,2021,2,7-Apr,22,3,12:33,12:45,GILANG,1,LID,,,Bombyllid
GYP01,45,2021,2,7-Apr,22,3,12:33,12:45,EUCCHR,2,BEE,Native,5,Native bee spp.
GYP01,25,2021,2,7-Apr,23,3,12:57,13:02,CALCIL,2,BEE,Native,10,Andrenidae
GYP01,25,2021,2,7-Apr,23,3,12:57,13:07,CALCIL,8,BEE,Native,5,Native bee spp.
GYP01,25,2021,2,7-Apr,23,3,12:57,13:09,CALCIL,4,BEE,Native,5,Native bee spp.
GYP01,25,2021,2,7-Apr,23,3,12:57,13:12,CALCIL,2,BEE,Native,5,Native bee spp.
GYP01,25,2021,2,7-Apr,23,3,12:57,13:16,CALCIL,4,BEE,Native,10,Adrenidae
GYP01,5,2021,2,7-Apr,22,3,13:42,13:47,CALCIL,2,BEE,Native,5,Native bee spp.
GYP01,25,2021,2,7-Apr,22,3,14:06,14:11,CALCIL,3,BEE,Native,5,Native bee spp.
GYP01,25,2021,2,7-Apr,22,3,14:06,14:13,CALCIL,6,BEE,Native,5,Native bee spp.
GYP01,25,2021,2,7-Apr,22,3,14:06,14:15,CALCIL,2,BEE,Native,5,Native bee spp.
GYP01,25,2021,2,7-Apr,22,3,14:06,14:16,CALCIL,5,LID,,,Bombyllid
GYP01,45,2021,2,7-Apr,23,4,14:29,14:39,GILANG,4,BEE,Native,5,Native bee spp.
GYP01,45,2021,2,7-Apr,23,4,14:29,14:32,GILANG,2,LID,,,Bombyllid
GYP01,45,2021,2,7-Apr,23,4,14:29,14:33,GILANG,1,LID,,,Bombyllid
GYP01,45,2021,2,7-Apr,23,4,14:29,,EUCCHR,4,LID,,,Bombyllid
GYP01,45,2021,2,7-Apr,23,4,14:29,,GILANG,5,LID,,,Bombyllid
GYP01,45,2021,2,7-Apr,23,4,14:29,,EUCCHR,2,LID,,,Bombyllid
GYP01,45,2021,2,7-Apr,23,4,14:29,14:44,EUCCHR,1,BEE,Native,5,Native bee spp.
GYP01,45,2021,2,7-Apr,23,4,14:29,14:45,GILANG,1,BEE,Native,5,Native bee spp.
GYP01,45,2021,2,7-Apr,23,4,14:29,,EUCCHR,1,BEE,Native,5,Native bee spp.
GYP01,45,2021,2,7-Apr,23,4,14:29,,GILANG,1,LID,,,Bombyllid
BKR10,5,2021,2,8-Apr,17,3,9:10,,nothing,,NA,,,
BKR10,0,2021,2,8-Apr,17,3,9:30,,nothing,,NA,,,
BKR10,5,2021,2,8-Apr,18,3,9:52,,nothing,,NA,,,
BKR10,0,2021,2,8-Apr,19,3,10:13,,nothing,,NA,,,
SS05,10,2021,2,8-Apr,21,5,12:04,4:03,CRYMUR,NA,BEE,Apis,,Apis mellifera
SS05,10,2021,2,8-Apr,21,5,12:04,9:10,BRATOU,NA,BEE,Apis,,Apis mellifera
